kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Tuz Baharat ve Harçlar,Deva Pul Biber 65 Gr,65 G,"43,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1568916.jpg
Tuz Baharat ve Harçlar,Deva Köri 60 Gr,60 G,"42,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_281133.jpg
Tuz Baharat ve Harçlar,Deva Limon Tuzu 105 Gr,105 G,"46,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1589119.jpg
Tuz Baharat ve Harçlar,Deva Susam 65 Gr,65 G,"36,95",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Knorr Et Suyu Bulyon 12 Lı,,"39,90",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Knorr Tavuk Suyu Bulyon 12 Li,,"39,90",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Rafine Kaya Tuzu 1500 Gr Sofra,1500 G,"13,50",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Kabuk Tarçın 50 Gr Destan,50 G,"23,00",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Kekik 75g Sanitta,75g,"9,00",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Zencefil & Zerdeçal 75g Sanitta,75g,"23,00",MarketFiyati.org.tr,
Tuz Baharat ve Harçlar,Karbonat 600 Gr Dr Oetker,600 G,"42,50",MarketFiyati.org.tr,
